regulator,target
AEBP2,KMT2C
AEBP2,SET
AEBP2,TDG
AEBP2,SLC7A6
AEBP2,SUMO2
AEBP2,EXT2
AEBP2,PPIB
AEBP2,RRN3
AEBP2,TMED9
AEBP2,MFSD1
AEBP2,HNF1B
AEBP2,RPN1
AEBP2,MSH6
AEBP2,FGF10
AEBP2,NCAPG
AEBP2,RBBP7
AEBP2,NFYC
AEBP2,BMPER
AEBP2,SARAF
AEBP2,GDPD5
AEBP2,ETV5
AEBP2,P3H2
AEBP2,ZFYVE21
AEBP2,ITPK1
AEBP2,TPM4
AEBP2,BRD4
AEBP2,TFRC
AEBP2,ASPH
AEBP2,ARHGEF28
AEBP2,GNS
AEBP2,TET2
AEBP2,PSEN1
AEBP2,PDCD6IP
AEBP2,IKBIP
AEBP2,CTDSPL
AEBP2,APAF1
AEBP2,RFFL
AEBP2,OBSL1
AEBP2,CHD1
AEBP2,EP300
AEBP2,CD63
AEBP2,WDR82
AEBP2,MAP1A
AEBP2,SNX7
AEBP2,SELENOS
AEBP2,FBXW8
AEBP2,COL27A1
AEBP2,ALDH2
AEBP2,SSR1
AEBP2,DRAM1
AEBP2,DCLK2
AEBP2,SMYD2
AEBP2,COMMD3
AEBP2,FRMD4A
AEBP2,ZFP384
AEBP2,CBFA2T2
AEBP2,AARS
AEBP2,ITGB1
AEBP2,CDK8
AEBP2,SAP30
AEBP2,BTAF1
AEBP2,TMEM165
AEBP2,PHLDB2
AEBP2,FBXO22
AEBP2,CDC42SE2
AEBP2,RIF1
AEBP2,PRKAA2
AEBP2,RANBP17
AEBP2,KLF2
AEBP2,GSR
AEBP2,GNAI3
AEBP2,LRRC59
AEBP2,SPOCK1
AEBP2,ADAM23
AEBP2,PATJ
AEBP2,KANSL3
AEBP2,CALM1
AEBP2,AMFR
AEBP2,TCF12
AEBP2,NELFA
AEBP2,SEC24D
AEBP2,SLC39A7
AEBP2,REEP5
AEBP2,POLE4
AEBP2,PCOLCE2
AEBP2,KDM2A
AEBP2,NFYA
AEBP2,ATP6V0E
AEBP2,GNG10
AEBP2,IGFBP2
AEBP2,E4F1
AEBP2,COLGALT1
AEBP2,P4HA2
AEBP2,ADNP
AEBP2,ZFP217
AEBP2,ZBTB2
AEBP2,MYBL2
AEBP2,MARC2
AEBP2,LRRC58
AEBP2,GFPT1
AEBP2,CBX5
AEBP2,BAZ1B
AEBP2,MSH2
AEBP2,ENOX1
AEBP2,CBX3
AEBP2,DERL1
AEBP2,CREBBP
AEBP2,MTA2
AEBP2,SS18
AEBP2,RNF138
AEBP2,NFXL1
AEBP2,VAMP3
AEBP2,PURB
AEBP2,MED1
AEBP2,NSL1
AEBP2,COPB1
AEBP2,SMAD3
AEBP2,GXYLT1
AEBP2,CHMP4B
AEBP2,PARVA
AEBP2,ARF4
AEBP2,TENM4
AEBP2,TCF15
AEBP2,PTPN14
AEBP2,NUP210
AEBP2,KDELC2
AEBP2,CCDC88C
AEBP2,ITGAV
AEBP2,BMPR2
AEBP2,PARD6B
AEBP2,FOXA2
AEBP2,EP400
AEBP2,SH3PXD2B
AEBP2,PWP1
AEBP2,P3H4
AEBP2,MSX2
AEBP2,LAMA1
AEBP2,CBX1
AEBP2,MAN1A2
AEBP2,L3MBTL3
AEBP2,ADAM10
AEBP2,TXNDC12
AEBP2,SUMO1
AEBP2,P3H1
AEBP2,SUPT16
AEBP2,SETX
AEBP2,NOTUM
AEBP2,PDE4DIP
AEBP2,MAPKAPK2
AEBP2,F3
AEBP2,SMAD2
AEBP2,TXNDC5
AEBP2,FAM114A1
AEBP2,SOD1
AEBP2,FKBP5
AEBP2,HS3ST1
AEBP2,RER1
AEBP2,MVB12B
AEBP2,ANO10
AEBP2,XPNPEP1
AEBP2,EMP2
AEBP2,APPBP2
AEBP2,SSRP1
AEBP2,SEC24A
AEBP2,MED26
AEBP2,GGA2
AEBP2,GLDC
AEBP2,TTC39B
AEBP2,RPP25
AEBP2,RNF2
AEBP2,KMT2D
AEBP2,HSF2BP
AEBP2,TNKS
AEBP2,MBD2
AEBP2,PRDM15
AEBP2,PDIA3
AEBP2,EED
AEBP2,CDC73
AEBP2,PDIA6
AEBP2,KDM5B
AEBP2,FN1
AEBP2,TRAM1
AEBP2,PDGFRA
AEBP2,MAPK8
AEBP2,USP16
AEBP2,TMED10
AEBP2,TIMP3
AEBP2,NCOR1
AEBP2,STT3A
AEBP2,QSOX1
AEBP2,PXDN
AEBP2,LMNB1
AEBP2,ELL2
AEBP2,TEX264
AEBP2,RXRA
AEBP2,LYN
AEBP2,IMPDH2
AEBP2,BRD9
AEBP2,TMOD3
AEBP2,RBPJ
AEBP2,KDELR2
AEBP2,GSN
AEBP2,GOT1
AEBP2,DNAJC3
AEBP2,ELOB
AEBP2,TPD52
AEBP2,PHF5A
AEBP2,FUT9
AEBP2,CALR
AEBP2,RUVBL1
AEBP2,LY75
AEBP2,IER2
AEBP2,TAX1BP3
AEBP2,MAFK
AEBP2,AFF3
AEBP2,XRCC5
AEBP2,UBA2
AEBP2,TGIF2
AEBP2,NFYB
AEBP2,ITGA6
AEBP2,COPG1
AEBP2,RRAS2
AEBP2,BSG
AEBP2,ZFP57
AEBP2,TBRG1
AEBP2,SERBP1
AEBP2,PRSS35
AEBP2,NRF1
AEBP2,MAX
AEBP2,UHRF1
AEBP2,KAT8
AEBP2,ZIC2
AEBP2,TMEM9B
AEBP2,COPA
AEBP2,CAR2
AEBP2,TM9SF3
AEBP2,ANK
AEBP2,WDR5
AEBP2,STARD10
AEBP2,RCOR1
AEBP2,TMED2
AEBP2,RYBP
AEBP2,EDEM1
AEBP2,DR1
AEBP2,SNURF
AEBP2,SNRPN
AEBP2,SMARCAD1
AEBP2,SLC35F5
AEBP2,FGFR1
AEBP2,EZH2
AEBP2,BAG2
AEBP2,NMNAT2
AEBP2,MYH9
AEBP2,DDX21
AEBP2,ZFP428
AEBP2,SEC23A
AEBP2,ELL3
AEBP2,SNX2
AEBP2,PLEKHF2
AEBP2,SOAT1
AEBP2,E2F1
AEBP2,ME1
AEBP2,KAT6B
AEBP2,EFEMP2
AEBP2,SETDB1
AEBP2,SETD7
AEBP2,NASP
AEBP2,GLO1
AEBP2,B4GALT1
AEBP2,B4GALNT4
AEBP2,ACBD3
AEBP2,WDR11
AEBP2,HIRA
AEBP2,CBX7
AEBP2,DUSP6
AEBP2,DNMT3B
AEBP2,TIMP2
AEBP2,MPRIP
AEBP2,H13
AEBP2,GNPTAB
AEBP2,DICER1
AEBP2,SMC3
AEBP2,REST
AEBP2,PHF19
AEBP2,NIPBL
AEBP2,EPAS1
AEBP2,USP28
AEBP2,DTX1
AEBP2,SUZ12
AEBP2,SSR3
AEBP2,SOX17
AEBP2,ELL
AEBP2,COTL1
AEBP2,SRI
AEBP2,RAB2A
AEBP2,CPOX
AEBP2,BAZ1A
AEBP2,SURF4
AEBP2,MSL3
AEBP2,CBX2
AEBP2,HDAC1
AEBP2,RAB11A
AEBP2,MYDGF
AEBP2,FNDC3B
AEBP2,FGF4
AEBP2,TCEA3
AEBP2,MCAM
AEBP2,ETV4
AEBP2,ARF1
AEBP2,METTL3
AEBP2,TET3
AEBP2,GATA4
AEBP2,GABBR1
AEBP2,E2F4
AEBP2,SPNS2
AEBP2,PHC1
AEBP2,ZFX
AEBP2,PHRF1
AEBP2,BCLAF3
AEBP2,SMARCA2
AEBP2,MSL1
AEBP2,MOV10
AEBP2,APEX1
AEBP2,ALPL
AEBP2,IRF2BPL
AEBP2,FGFR4
AEBP2,TMEM214
AEBP2,YY1
AEBP2,TFCP2L1
AEBP2,RETREG1
AEBP2,DOCK5
AEBP2,ATP6V0A1
AEBP2,THAP11
AEBP2,FZD5
AEBP2,FRS2
AEBP2,DDB1
AEBP2,ARL8A
AEBP2,KDELR3
AEBP2,JAM2
AEBP2,ILK
AEBP2,HSP90AB1
AFF3,CXXC1
AFF3,SUPT5
AFF3,YY1
AFF3,RAB11A
AFF3,METTL3
AFF3,POU5F1
AFF3,CBX3
AFF3,FOXH1
AFF3,ZC3H11A
AFF3,DAXX
AFF3,NELFA
AFF3,TMED10
AFF3,ACP6
AFF3,NFYC
AFF3,LAMP1
AFF3,SALL4
AFF3,WDR46
AFF3,TGIF1
AFF3,RDM1
AFF3,CHMP4B
AFF3,ZFP143
AFF3,KMT2B
AFF3,HDAC2
AFF3,IRF2BPL
AFF3,HCFC1
AFF3,SRSF1
AFF3,HMGA1
AFF3,FUT9
AFF3,NCAPH2
AFF3,LMF2
AFF3,MTF2
AFF3,KCTD10
AFF3,SNURF
AFF3,SNRPN
AFF3,MFSD1
AFF3,HSP90AB1
AFF3,NANOG
AFF3,SETDB1
AFF3,DERL1
AFF3,TET3
AFF3,DICER1
AFF3,EP300
AFF3,TRP53
AFF3,PDIA5
AFF3,PHF5A
AFF3,RIF1
AFF3,ADNP
AFF3,RAD23B
AFF3,CBX7
AFF3,KDM2A
AFF3,BRD2
AFF3,PLOD3
AFF3,SMARCA4
AFF3,GABARAP
AFF3,FUT8
AFF3,ZFP710
AFF3,SERBP1
AFF3,CST3
AFF3,TGIF2
AFF3,HDLBP
AFF3,MAX
AFF3,JARID2
AFF3,TCEA3
AFF3,ZFX
AFF3,OTX2
AFF3,TPD52
AFF3,KLHDC3
AFF3,UBA2
AFF3,ETV1
AFF3,SLC39A7
AFF3,NRF1
AFF3,TMED9
AFF3,ZFHX3
AFF3,SRSF2
AFF3,TLE4
AFF3,ZFP532
AFF3,PAF1
AFF3,OPLAH
AFF3,ALPL
AFF3,KDM2B
AFF3,TMOD3
AFF3,SET
AFF3,SAP30
AFF3,ZFP384
AFF3,RAF1
AFF3,RBPJ
AFF3,THAP11
AFF3,RASGRP2
AFF3,RCC2
AFF3,MYL6
AFF3,ELL
AFF3,EIF2S2
AFF3,UPP1
AFF3,NSL1
AFF3,ADGRA2
AFF3,KMT2D
AFF3,INO80
AFF3,CCND1
AFF3,SALL1
AFF3,TMEM59
AFF3,HEXIM1
AFF3,ERAS
AFF3,NUCB1
AFF3,TMEM214
AFF3,FGFR1
AFF3,KAT8
AFF3,TMEM165
AFF3,ELOB
AFF3,MED1
AFF3,ADAM19
AFF3,BMI1
AFF3,PTOV1
AFF3,MYMX
AFF3,TBRG1
AFF3,CLTC
AFF3,ERF
AFF3,MEN1
AFF3,NFYA
AFF3,SMARCA5
AFF3,SAP18
AFF3,SOX2
AFF3,NCAPD3
AFF3,ZMYND8
AFF3,ZBTB2
AFF3,CREB3
AFF3,GATA6
AFF3,DAB2
AFF3,KAT6B
AFF3,RTN3
AFF3,NACC1
AFF3,LAMB1
AFF3,TXNDC12
AFF3,NPM1
AFF3,TAX1BP3
AFF3,TAF3
AFF3,RER1
AFF3,SLC25A4
AFF3,CD63
AFF3,TFRC
AFF3,MSL2
AFF3,ETV5
AFF3,BAZ1B
AFF3,SARAF
AFF3,ZCCHC24
AFF3,ATP6V0A1
AFF3,NCOR1
AFF3,MED23
AFF3,TBP
AFF3,MBD3
AFF3,ZIC2
AFF3,ZIC3
AFF3,KMT2C
AFF3,KLF2
AFF3,TSPAN9
AFF3,CALM1
AFF3,ELL2
AFF3,ATRX
AFF3,ZFP42
AFF3,CTDSPL
AFF3,PRDX1
AFF3,CHST15
AFF3,SH3GLB1
AFF3,IMPDH2
AFF3,CALR
AFF3,NONO
AFF3,MOV10
AFF3,DMAP1
AFF3,MSH6
AFF3,FN1
AFF3,CDC16
AFF3,CPOX
AFF3,PCGF2
AFF3,MDN1
AFF3,MBD2
AFF3,BSG
AFF3,FABP3
AFF3,VKORC1
AFF3,MPHOSPH8
AFF3,CBX5
AFF3,NFXL1
AFF3,JUN
AFF3,SORD
AFF3,DDOST
AFF3,HSP90AA1
AFF3,DUSP27
AFF3,SSR3
AFF3,NASP
AFF3,SUZ12
AFF3,XRCC5
AFF3,STAG2
AFF3,FNDC3B
AFF3,EZH2
AFF3,SMARCAD1
AFF3,MYDGF
AFF3,LAMA1
AFF3,TMED2
AFF3,SELENOW
AFF3,SPP1
AFF3,TFE3
AFF3,STAT3
AFF3,KDM5B
AFF3,RBBP7
AFF3,ARF1
AFF3,MKRN1
AFF3,KAT5
AFF3,CDK9
AFF3,RARA
AFF3,GNS
AFF3,MAPKAPK2
AFF3,ARF4
AFF3,XBP1
AFF3,MAP1A
AFF3,OSBP
AFF3,DDB1
AFF3,PHC1
AFF3,HIRIP3
AFF3,APPBP2
AFF3,SETD7
AFF3,P3H1
AFF3,USP28
AFF3,IER2
AFF3,PKNOX1
AFF3,LRP2
AFF3,FBLIM1
AFF3,FBXW8
AFF3,RBBP5
AFF3,GCNT2
AFF3,COPA
AFF3,SLC35F5
AFF3,TCOF1
AFF3,COTL1
AFF3,ARHGAP1
AFF3,SMC3
AFF3,UTP14A
AFF3,HNRNPL
AFF3,SUMO2
AFF3,PNP
AFF3,MSH2
AFF3,YEATS4
AFF3,GLI1
AFF3,PRDM15
AFF3,PDIA3
AFF3,P4HA1
AFF3,MMGT1
AFF3,GTF2B
AFF3,CTSL
AFF3,PATJ
AFF3,CDK7
AFF3,TIMP3
AFF3,SUPT16
AFF3,KDELR1
AFF3,CTBP2
AFF3,OGT
AFF3,OAT
AFF3,ARHGEF28
AFF3,LRPAP1
AFF3,GALNT7
AFF3,TMEM30A
AFF3,SOD1
AFF3,SNX2
AFF3,TPM4
AFF3,SLC16A1
AFF3,RRBP1
AFF3,MSL1
AFF3,TDH
AFF3,DPF2
AFF3,PAFAH1B3
AFF3,EP400
AFF3,ILK
AFF3,ARID1A
AFF3,IGFBP2
AFF3,PSEN1
AFF3,2410141K09RIK
AFF3,SEMA4C
AFF3,TDG
AFF3,LRRC34
AFF3,RRAS2
AFF3,EDEM1
AFF3,WDR11
AFF3,TGOLN1
AFF3,SUMO1
AFF3,RNF138
AFF3,MED12
AFF3,KDELC2
AFF3,CDC42SE2
AFF3,PLEKHF2
AFF3,MORC3
AFF3,UBTF
AFF3,SETD1A
AFF3,USP16
AFF3,UBQLN2
AFF3,KRT42
AFF3,TFCP2L1
AFF3,AP2A2
AFF3,STAG1
AFF3,SSR1
AFF3,SEC11A
AFF3,POLE4
AFF3,NIPBL
AFF3,GFPT2
AFF3,ZFP819
AFF3,ZFYVE21
AFF3,AGPAT4
ARID1A,PIPOX
ARID1A,MSH6
ARID1A,RIF1
ARID1A,ITGB1
ARID1A,MTF2
ARID1A,LRPAP1
ARID1A,ACP6
ARID1A,ETV1
ARID1A,GSTA4
ARID1A,ZFP42
ARID1A,UPP1
ARID1A,SPP1
ARID1A,GCNT2
ARID1A,LAMC1
ARID1A,IMPDH2
ARID1A,PLOD1
ARID1A,NR5A2
ARID1A,SLC7A3
ARID1A,SERPING1
ARID1A,PATJ
ARID1A,ST5
ARID1A,ZFP819
ARID1A,CHD7
ARID1A,TGIF2
ARID1A,HSPB1
ARID1A,RBPJ
ARID1A,LAMB2
ARID1A,DARS
ARID1A,TSPAN9
ARID1A,ZMYND8
ARID1A,IFITM1
ARID1A,FBRSL1
ARID1A,CBFA2T2
ARID1A,PLEKHF2
ARID1A,MBD2
ARID1A,LMNB1
ARID1A,FABP3
ARID1A,RNF2
ARID1A,MSH2
ARID1A,CTSD
ARID1A,SMARCA5
ARID1A,2200002D01RIK
ARID1A,TPD52
ARID1A,PDK1
ARID1A,SERPINH1
ARID1A,SET
ARID1A,PRDX1
ARID1A,NFYC
ARID1A,POLE4
ARID1A,STAT3
ARID1A,ARHGAP29
ARID1A,ZFP428
ARID1A,USP28
ARID1A,SFRP1
ARID1A,ETV5
ARID1A,LRRC34
ARID1A,EP400
ARID1A,DGCR8
ARID1A,DDB1
ARID1A,FOXH1
ARID1A,CST3
ARID1A,MAP1A
ARID1A,TFRC
ARID1A,SH3PXD2B
ARID1A,TAX1BP3
ARID1A,PTPN14
ARID1A,MBD3
ARID1A,GABBR1
ARID1A,COPG1
ARID1A,LGALS3
ARID1A,MYMX
ARID1A,PHC1
ARID1A,ELL
ARID1A,ADNP
ARID1A,TUBB2B
ARID1A,SETDB1
ARID1A,SARAF
ARID1A,AMPD2
ARID1A,MCRS1
ARID1A,BSG
ARID1A,HIRA
ARID1A,ARPC5
ARID1A,XPNPEP1
ARID1A,CLTC
ARID1A,HMGA1
ARID3A,OGT
ARID3A,RUVBL2
ARID3A,RDM1
ARID3A,MTF2
ARID3A,TCF3
ARID3A,MED23
ARID3A,MYMX
ARID3A,TLE4
ARID3A,GABARAP
ARID3A,ADNP
ARID3A,KAT8
ARID3A,KANSL3
ARID3A,GORASP2
ARID3A,MDN1
ARID3A,SH3GLB1
ARID3A,IMPDH2
ARID3A,MYL6
ARID3A,ARHGAP1
ARID3A,CLTC
ARID3A,KDM1A
ARID3A,LRRC59
ARID3A,STAT3
ARID3A,NR4A1
ARID3A,KMT2C
ARID3A,GCNT2
ARID3A,DUSP6
ARID3A,CALM1
ARID3A,GNB2
ARID3A,LRPAP1
ARID3A,CDC73
ARID3A,TAF3
ARID3A,B4GALT1
ARID3A,KDELC2
ARID3A,XRCC5
ARID3A,TBRG1
ARID3A,SMARCA5
ARID3A,PHC1
ARID3A,PTPN21
ARID3A,PRDM14
ARID3A,SPP1
ARID3A,OTX2
ARID3A,TRAM1
ARID3A,RBPJ
ARID3A,UPP1
ARID3A,RIF1
ARID3A,NR5A2
ARID3A,PTP4A1
ARID3A,NANOG
ARID3A,MKRN1
ARID3A,GLIPR2
ATF7IP,LAMP1
ATF7IP,MFSD1
ATF7IP,SH3GLB1
ATF7IP,APEX1
ATF7IP,SMARCA5
ATF7IP,TMED9
ATF7IP,PLOD2
ATF7IP,TBRG1
ATRX,MED23
ATRX,KANSL3
ATRX,GORASP2
ATRX,MFSD1
ATRX,SETDB1
ATRX,DARS
ATRX,KDM1A
ATRX,MBD2
ATRX,SH3GLB1
ATRX,GTF2B
ATRX,RANBP17
ATRX,CDC73
ATRX,CLTC
ATRX,ZBTB44
ATRX,TCF12
ATRX,LAMP1
ATRX,POLE4
ATRX,HDAC2
ATRX,ELL2
ATRX,PWP1
ATRX,COPB1
ATRX,RNF2
ATRX,STAG1
ATRX,MORC3
ATRX,DDOST
ATRX,RAF1
ATRX,PNP
ATRX,NFYC
ATRX,NELFA
ATRX,SMARCA5
ATRX,NSL1
ATRX,APP
ATRX,NUP210
ATRX,EP400
ATRX,CDK8
ATRX,ASPH
ATRX,DPY30
ATRX,FBXW8
ATRX,SAP18
ATRX,DR1
ATRX,SETD1A
ATRX,NFYB
ATRX,TAF3
ATRX,RPN1
ATRX,ITGB1
ATRX,DERL1
ATRX,TFRC
ATRX,PRDX1
ATRX,BAZ1B
ATRX,CDC5L
ATRX,CD63
ATRX,DNAJC10
ATRX,MED26
ATRX,SETX
ATRX,PHLDB2
ATRX,FBRSL1
ATRX,SLC16A1
ATRX,FUT8
ATRX,PRDM15
ATRX,KAT6B
ATRX,AP2A2
ATRX,MAPK8
ATRX,TET3
ATRX,EED
ATRX,P4HA1
ATRX,EDEM1
ATRX,SARAF
ATRX,KLF2
ATRX,ATP6V0E
ATRX,KDELR2
ATRX,SIK1
ATRX,FBXO22
ATRX,HSP90AB1
ATRX,RRBP1
ATRX,HSP90AA1
ATRX,EZH2
ATRX,GNG10
ATRX,SEC24A
ATRX,ZFP217
ATRX,PDIA5
ATRX,ZFP384
ATRX,SUPT5
ATRX,ENOX1
ATRX,SMAD1
ATRX,ETV5
ATRX,CALU
ATRX,E4F1
ATRX,CALM1
ATRX,ARHGAP29
ATRX,DGCR8
ATRX,P3H4
ATRX,FGFR1
ATRX,TNKS
ATRX,PLEKHF2
ATRX,BTAF1
ATRX,ITGA6
ATRX,CDC16
ATRX,MBD3
ATRX,TXNDC12
ATRX,PDCD6IP
ATRX,SS18
ATRX,ACTL6A
ATRX,AMFR
ATRX,H13
ATRX,VAMP3
ATRX,NACC1
ATRX,CPOX
ATRX,YEATS4
ATRX,COLGALT1
ATRX,TRIM28
ATRX,PPIB
ATRX,HIRA
ATRX,SMARCC1
ATRX,ZFP57
ATRX,CTCF
ATRX,TMEM165
ATRX,SUPT16
ATRX,NCOR1
ATRX,NRF1
ATRX,APPBP2
ATRX,NCAPD3
ATRX,MKRN1
ATRX,SLC25A4
ATRX,WDR82
ATRX,ARPC2
ATRX,SUMO1
ATRX,PDIA3
ATRX,GSR
ATRX,RTN3
ATRX,GFPT1
ATRX,DROSHA
ATRX,KCTD10
ATRX,KLF5
ATRX,RBMXL2
ATRX,ZFX
ATRX,RPN2
ATRX,CTSL
ATRX,INO80
ATRX,KAT5
ATRX,REEP5
ATRX,RBBP7
ATRX,KHDC3
ATRX,MOV10
ATRX,STT3A
ATRX,BRD4
ATRX,NCOR2
ATRX,TMEM9B
ATRX,BRD9
ATRX,MSL2
ATRX,SLC7A6
ATRX,IGFBP2
ATRX,OAT
ATRX,PDIA6
ATRX,SFRP1
ATRX,XBP1
ATRX,SERBP1
ATRX,KDM6A
ATRX,OSBP
ATRX,ZCCHC24
ATRX,TMED10
ATRX,FGFR4
ATRX,BAG2
ATRX,TBRG1
ATRX,FHDC1
ATRX,SPOCK1
ATRX,PARD6B
ATRX,COL4A2
ATRX,COL4A1
ATRX,ZFYVE21
BRD2,NSL1
BRD2,CDC5L
BRD2,GSTA4
BRD2,COPG1
BRD2,KCTD10
BRD2,NFYC
BRD2,POLE4
BRD2,YEATS4
BRD2,RBBP5
BRD2,RAF1
BRD2,NCAPG
BRD2,MED1
BRD2,SS18
BRD2,SMC3
BRD2,MTF2
BRD2,SERBP1
BRD2,HDLBP
BRD2,EED
BRD2,COPA
BRD2,WDR82
BRD2,KDM5A
BRD2,RPN1
BRD2,ZFP143
BRD2,NRF1
BRD2,ARF1
BRD2,KAT8
BRD2,MSL2
BRD2,SUPT5
BRD2,XRCC5
BRD2,ATP6V0A1
BRD2,DARS
BRD2,TMEM30A
BRD2,TRP53
BRD2,INO80
BRD2,DPY30
BRD2,SRSF1
BRD2,NPM1
BRD2,TMED9
BRD2,PTP4A1
BRD2,CTCF
BRD2,TAX1BP3
BRD2,WDR11
BRD2,CDC16
BRD2,TAF3
BRD2,NCAPH2
BRD2,LMF2
BRD2,CLTC
BRD2,CBX5
BRD2,MORC3
BRD2,MCM2
BRD2,METTL3
BRD2,TCF12
BRD2,NELFA
BRD2,LAMP1
BRD2,TMBIM6
BRD2,CARHSP1
BRD2,SUMO2
BRD2,GMNN
BRD2,SELENOW
BRD2,CBX3
BRD2,STT3A
BRD2,STAG1
BRD2,HIRIP3
BRD2,DR1
BRD2,ERP29
BRD2,HEXIM1
BRD2,SUMO1
BRD2,RUVBL1
BRD2,GORASP2
BRD2,HTATSF1
BRD2,EP300
BRD2,SSR1
BRD2,FUT8
BRD2,HSPA4
BRD2,SSR4
BRD2,TMEM214
BRD2,STAG2
BRD2,EIF2S2
BRD2,ARFGAP1
BRD2,ATRX
BRD2,DDX21
BRD2,DMAP1
BRD2,DDOST
BRD2,KMT2B
BRD2,YY1
BRD2,MPHOSPH8
BRD2,RRN3
BRD2,CALM1
BRD2,ZC3H11A
BRD2,RDM1
BRD2,FBXW8
BRD2,HCFC1
BRD2,SH3GLB1
BRD2,SLC16A1
BRD2,MYDGF
BRD2,KAT5
BRD2,PHF5A
BRD2,TGOLN1
BRD2,MCRS1
BRD2,GFPT1
BRD2,RAD23B
BRD2,KMT2D
BRD2,MDN1
BRD2,SMARCAD1
BRD2,SMARCA5
BRD2,ADNP
BRD2,SUZ12
BRD2,UBA2
BRD2,SSRP1
BRD2,RUVBL2
BRD2,TAF2
BRD2,CALU
BRD2,ELOB
BRD2,TMED10
BRD2,AARS
BRD2,ZFX
BRD2,DGCR8
BRD2,MBD3
BRD2,LRRC59
BRD2,LEO1
BRD2,GNAI3
BRD2,CNOT3
BRD2,PHRF1
BRD2,BRD9
BRD2,EZH2
BRD2,LRRC58
BRD2,P4HB
BRD2,SUPT16
BRD2,GLO1
BRD2,RPN2
BRD2,SAP18
BRD2,USP16
BRD2,SRSF2
BRD2,GTF2B
BRD2,RAD21
BRD2,SNX2
BRD2,NFYA
BRD2,E4F1
BRD2,RIF1
BRD2,SIRT6
BRD2,CREBBP
BRD2,NASP
BRD2,BAZ1B
BRD2,HDAC2
BRD2,HIRA
BRD2,SLC39A7
BRD2,NFYB
